,nominal__v_12,nominal__v_18,nominal__v_20,nominal__v_21,nominal__v_25,nominal__v_3,nominal__v_32,nominal__v_4,ordinal__v_0,ordinal__v_10,ordinal__v_13,ordinal__v_15,ordinal__v_17,ordinal__v_19,ordinal__v_22,ordinal__v_23,ordinal__v_24,ordinal__v_29,ordinal__v_31,ordinal__v_33,ordinal__v_5,ordinal__v_6,binary__v_1,binary__v_11,binary__v_14,binary__v_26,binary__v_27,binary__v_28,binary__v_30,binary__v_9,bin_literal,ord_norm,binary_sum,ratio__v_16,ratio__v_2,ratio__v_34,ratio__v_35,ratio__v_36,ratio__v_37,ratio__v_38,ratio__v_39,ratio__v_40,ratio__v_7,ratio__v_8
nominal__v_12,15.900130301876258,4.863354304514416,-8.587206904056297,2.590226554267664,-2.4427943117984627,3.491695129141539,4.134506984780153,2.7103795132361608,2.8594273435183983,2.8525197340442596,3.037260534909469,2.891167953400013,2.9572137106221286,2.8434012398387356,3.0779479480924405,2.87364632062368,2.856802429710811,3.04381796156122,2.68216266137835,2.8615259421208763,2.857270450510269,2.8836282660134716,0.08391396411951563,-0.29145592776379253,0.5655577497693176,0.5850419608683499,-0.5560163435306005,0.48959528137321756,0.3493261721894618,0.4189308028749697,0.07127121929972197,0.13914764893617793,0.23498480855720563,0.19543782027668008,0.2075677149666349,0.1636745366581747,0.03754319143290263,0.07585383643619745,0.04738428753098643,0.03689646844364108,0.034366583007334556,0.1803402573075408,0.17384051749003746,0.1121849117977886
nominal__v_18,4.863354304514416,337.6984577521016,141.88350737451975,4.450605900948384,183.76672161145746,212.7124052438313,12.791289233522933,16.817631781443716,2.10512549397569,2.584160049788973,2.5714815717504194,0.8390283266396539,2.8133953049130516,2.225376165471727,5.010385842343058,1.643692101163556,2.4382077912416276,2.6879858561116454,18.929749550577903,3.444444182273835,2.4687612771915646,4.2574017239598865,-0.24770653152728014,-0.28201806349315617,0.36909560948744313,0.7595554246553136,-0.4154205080829361,0.09688086066970854,0.08368883667684225,1.132990913845311,-0.10755732484610325,0.1850107449380203,0.21386664889017765,0.2587098893218998,0.18367999381647496,0.17790028393385207,0.034064605736229686,0.07141599533016817,0.08245202087159535,-0.07142704093461315,0.05439740227365669,0.0617951730487276,0.13267300035173488,0.09359420126115775
nominal__v_20,-8.587206904056297,141.88350737451975,906.5869360432653,7.684207060063263,393.30776586968057,148.7521657065668,37.82760838317966,46.94324637103448,3.103232244356819,4.5314122874613725,4.89629848567789,2.2074170470607934,9.189561262423647,4.510434837403022,2.8098106153557447,1.7774350128414274,5.096536437889817,5.508113332097131,41.83461439916231,6.135668500812234,4.322474450394792,3.8940436719479563,-0.8575498472686564,-0.6862935139978746,0.4757565364684253,0.5752577306709639,-0.5549404647563133,-0.3411831377047108,-0.43487487799813573,1.5660254929763548,-0.5269365216486913,0.3024632688900559,-0.03682886880142116,-0.046063364330575826,0.43099631421025975,0.24199631304848415,0.11730883731151605,0.16122686334286573,0.0550106545631241,0.02272246935456263,0.10280945197553709,0.05366576537699356,-0.06289187885809291,0.14397194900960592
nominal__v_21,2.590226554267664,4.450605900948384,7.684207060063263,8.815002634351949,8.407534246575306,3.217663329820871,10.1652397260274,3.6131454162276135,2.8152660695469005,3.0659246575342305,3.201198630136977,2.8285036880927192,3.3603134878819874,2.680584826132773,2.661749209694412,2.854056902002098,3.088448366701794,2.534905163329816,8.397194415173834,3.1620785036880776,3.2652133825079224,2.6663593256058977,-0.03003161222339296,-0.44639093782929523,0.5639488935721838,0.5300974710221323,-0.5482744994731318,0.0562434141201266,0.36222339304530965,0.43321917808219124,-0.03485764168681172,0.14355122524823347,0.13157647147373153,0.17478201810755284,0.2188126878195371,0.14666388596183128,0.03164607604660094,0.07825274335961627,0.06032934775596221,0.026032360532062714,0.044100414229134105,0.18666735661598674,0.16473268811667777,0.1641420793818055
nominal__v_25,-2.4427943117984627,183.76672161145746,393.30776586968057,8.407534246575306,668.1609663991047,95.35111608803462,43.11434975088858,48.33657246660842,3.023647264437852,3.7016822655093637,5.303552572115736,-0.9859896335891233,7.431461879345014,1.6731693613486998,1.0160587207875627,1.868183857224238,4.280140428447217,0.9429181180123067,56.93058885122267,6.394682273281953,5.744503947919223,2.391894967915866,-1.2442779876993244,-0.9638746792419736,0.29489779602731925,0.6221514855080115,-0.4431901585718868,-0.1780374994031762,-0.3032300097379415,0.7658116635446758,-0.8065205030514366,0.23361627272571295,-0.20710705565347115,-0.1446306605272575,0.3141415051767698,0.2925663282383404,-0.09606598945395835,0.14306358409168107,0.020121517945986687,-0.17750856115100855,0.10309129840715435,0.0968523479638279,-0.21375505741822323,0.1737325847776463
nominal__v_3,3.491695129141539,212.7124052438313,148.7521657065668,3.217663329820871,95.35111608803462,459.14541199432404,-8.655971748310312,21.293320377170378,1.6923874307268054,1.9339698573508137,0.5297143934994515,2.033237526940345,-1.5663250845824093,2.7081539161071326,6.326399815234487,1.1399912391836098,0.7445920141105827,4.934251821838971,3.805281209436806,2.368839461093202,-1.288319896935493,4.575648233790545,-0.011978667578650142,-0.09249420664645042,0.512564734549484,0.5433473730320081,-0.28219787397526735,0.10783479587519908,0.0378319588807917,1.161244130308537,0.06687605897421292,0.1795837763568386,0.2823074634922361,0.35436153613204047,0.23121360943455566,0.20586001196855086,0.1915018473852564,0.11062548140745393,0.12043601258198354,-0.01559766594832183,0.11808867732858905,0.12050938266303732,0.18345708857638096,0.03558217651323974
nominal__v_32,4.134506984780153,12.791289233522933,37.82760838317966,10.1652397260274,43.11434975088858,-8.655971748310312,506.5835394225618,-42.44515398606047,4.295328133657407,11.030861821716833,17.846243300307204,-4.351447255776979,27.96333510899943,5.880325887934839,-0.9843382363554999,5.393724024290437,14.767248551245252,-3.0838302700085785,70.13584269004795,14.288059515257032,22.282861736218365,2.432214848751,-1.2512780354452184,-2.6282592124592337,0.6818203205415062,1.2405062702573038,-1.0955200332888801,0.10235956322500138,1.871803107036306,-0.586680588851222,-1.1447200938867594,0.39845054004894376,-0.2378926584263493,0.11764933285611849,0.21634973067573376,0.1655231363093457,0.19057866064973622,0.14918814965477653,-0.0318691011754984,-0.1452552622307658,-0.06649831500770355,0.21523874354855418,0.6258210800942674,1.9351798479570856
nominal__v_4,2.7103795132361608,16.817631781443716,46.94324637103448,3.6131454162276135,48.33657246660842,21.293320377170378,-42.44515398606047,645.6892983130158,4.567900074505802,14.63172023459888,-4.080601592714206,8.009410105029865,6.524954030697278,9.76284475589078,24.65106023644212,2.12482608835655,-2.3151358093095595,22.143282929954548,-2.648693344777553,11.273535533493748,8.593629559594092,13.447460084987696,-0.4357384679786049,-0.240597945149961,0.6467765692021222,0.4313962287405853,-0.5943132696943488,-0.061241049032812626,-0.872824091911956,0.9293757724008743,-0.19368370698686577,0.9744958915065632,-0.02816660763201443,0.23029886643315936,0.3142219648220917,0.12352906096410428,0.05009476044901158,0.04097735127374151,0.006484258391714733,-0.05840740987310729,0.03989239490865145,0.19634831748069193,0.07543237809201352,-0.5576057798255464
ordinal__v_0,2.8594273435183983,2.10512549397569,3.103232244356819,2.8152660695469005,3.023647264437852,1.6923874307268054,4.295328133657407,4.567900074505802,5.333242121094714,3.252488962925864,3.1230785747517515,3.061976668913311,3.475806086713206,2.9048828226928425,2.9219077038555383,3.2612830210048727,3.1572038422120148,2.999246475409196,3.486812070495157,3.359823676078514,3.602619736709149,2.872226851846712,0.06543213920481991,-0.31657956742219784,0.6088661210680463,0.5618637582014699,-0.5613485466927074,0.04933719260804719,0.41313106470013006,0.44510596257387924,0.05319876861749681,0.15275050364466486,0.18082973203449768,0.1789025659675205,0.2145140953610937,0.15661790247105364,0.04159007170051045,0.06767779358182612,0.04816488021411734,0.05363745303478418,0.03994365936631818,0.20694627512231176,0.16955742396731338,0.14484604123616693
ordinal__v_10,2.8525197340442596,2.584160049788973,4.5314122874613725,3.0659246575342305,3.7016822655093637,1.9339698573508137,11.030861821716833,14.63172023459888,3.252488962925864,9.481940046146978,6.353525381939376,3.3074283173125374,8.688022845299958,8.15289581623825,7.60509259927537,3.0929634766117258,5.7525505884403785,7.432939642527613,4.674240382255851,8.28110665822044,8.525503594266496,7.7050854096320185,0.06493913508867971,-0.3225253192035106,0.5996854461631715,0.5161499792916056,-0.492826387601168,0.06431552374469958,0.30330190617154495,0.4691704484005691,0.04905626691422245,0.3866442811388258,0.17174439029365646,0.174844436025262,0.22503329206870806,0.1641508736635006,0.049432403560998976,0.06346275627857546,0.0477546779475991,0.03087454570795551,0.059490486697599515,0.20644302982912843,0.19311388020017647,0.15671091906034604
ordinal__v_13,3.037260534909469,2.5714815717504194,4.89629848567789,3.201198630136977,5.303552572115736,0.5297143934994515,17.846243300307204,-4.080601592714206,3.1230785747517515,6.353525381939376,10.342559787852835,2.767315381617377,8.561653481952604,7.697757802844993,5.055505434704167,3.171834141867472,7.347014313219754,4.696692958368906,7.866739752121076,7.628758531802641,7.283830672517576,6.468662176702009,-0.008982890314356815,-0.4026831804539411,0.6090068604187668,0.5819570070430719,-0.5420672556437347,0.07151266210008642,0.4445267660151392,0.3628889208428598,-0.003609987478731794,0.27960487753524804,0.1594512700011278,0.18070430101716733,0.24181827787263208,0.16767416132239596,0.037649336154101105,0.06825369253420768,0.05158681281064711,0.034739311923894164,0.06332099230875035,0.19311025657152442,0.18284255024561372,0.2063456791631361
ordinal__v_15,2.891167953400013,0.8390283266396539,2.2074170470607934,2.8285036880927192,-0.9859896335891233,2.033237526940345,-4.351447255776979,8.009410105029865,3.061976668913311,3.3074283173125374,2.767315381617377,6.635892587283399,2.674367727772898,3.3641362823270193,3.819038064581315,3.0089656795850654,2.824316761806836,3.7941516276353258,0.3300809681534877,3.1208701189539076,3.034888924173965,3.4716289455596976,0.1279359561004265,-0.1377871554661832,0.6254553903448936,0.5424086249071457,-0.5372406870523138,0.05695585503458244,0.3551239672174465,0.5252670161370043,0.13104293252886842,0.17314931479151943,0.22258842388899974,0.19403245367986008,0.22801073538258995,0.16229458624481494,0.03113998941537555,0.0649127255213367,0.07176405035104787,0.045366154765346806,0.03230066532710143,0.20875363467601873,0.15494627306199882,0.09888032408358413
